Name: CCTV3综艺[高清], URL: http://183.134.132.54:82/rtp/233.50.201.16:5140, Date: 2024-10-07, Resolution: None, Response Time: 113 ms
Name: CCTV3综艺[高清], URL: http://125.118.82.236:8888/rtp/233.50.201.16:5140, Date: 2024-10-09, Resolution: None, Response Time: 127 ms
Name: CCTV3综艺[高清], URL: http://118.81.151.140:8083/rtp/226.0.2.20:8072, Date: 2024-10-10, Resolution: None, Response Time: 139 ms
Name: CCTV3综艺[高清], URL: http://183.188.28.31:6001/rtp/226.0.2.20:8072, Date: 2024-10-09, Resolution: None, Response Time: 144 ms
Name: CCTV3综艺[高清], URL: http://60.220.167.25:8082/rtp/226.0.2.20:8072, Date: 2024-10-10, Resolution: None, Response Time: 146 ms
Name: CCTV3综艺[高清], URL: http://171.127.210.222:8083/rtp/226.0.2.20:8072, Date: 2024-10-10, Resolution: None, Response Time: 154 ms
Name: CCTV3综艺[高清], URL: http://61.134.232.6:8001/rtp/226.0.2.20:8072, Date: 2024-10-10, Resolution: None, Response Time: 156 ms
Name: CCTV3综艺[高清], URL: http://183.188.195.104:6001/rtp/226.0.2.20:8072, Date: 2024-10-04, Resolution: None, Response Time: 162 ms
Name: CCTV3综艺[高清], URL: http://171.116.120.221:5555/rtp/226.0.2.20:8072, Date: 2024-10-10, Resolution: None, Response Time: 182 ms
Name: CCTV3综艺[高清], URL: http://122.238.2.91:4022/rtp/233.50.201.16:5140, Date: 2024-10-08, Resolution: None, Response Time: 207 ms
